Turma,MBTI,YEAR,GENDER,REQ,DEV,PROVA,NOTA FINAL,Group,Profile
A,ENTP-T,2025,M,7.77,10,10,9.26,Analistas,Inovador
B,ISTJ-T,2025,F,10,9.5,10,9.83,Sentinelas,Pratico
A,ENFP-A,2024,M,10,10,6.51,8.84,Diplomatas,Ativista
B,ENFJ-A,2025,M,9.1,6,10,8.37,Diplomatas,Protagonista
B,INTP-A,2025,M,9.4,3,8.8,7.07,Analistas,Logico
A,ISTJ-T,2025,M,9.9,7,10,8.97,Sentinelas,Pratico
B,INFJ-A,2025,F,9.1,6,9.4,8.17,Diplomatas,Apoiador
A,INFP-T,2024,F,10,9,9.05,9.35,Diplomatas,Mediador
A,INFP-T,2024,F,10,9,9.05,9.35,Diplomatas,Mediador
B,ESTP-T,2024,M,10,9.5,9,9.50,Exploradores,Empreendedor
A,ISTP-T,2024,M,10,10,8.14,9.38,Exploradores,Virtuoso
B,ESTJ-T,2025,M,10,9.5,10,9.83,Sentinelas,Executivo
B,ESTJ-T,2025,M,10,9.5,10,9.83,Sentinelas,Executivo
B,INTJ-A,2025,F,10,10,10,10.00,Analistas,Arquiteto
B,ISTJ-T,2024,M,10,9.5,10,9.83,Sentinelas,Pratico
B,ENTP-A,2025,M,5,4,8,5.67,Analistas,Inovador
A,ENFJ-A,2025,M,9.1,4,7.57,6.89,Diplomatas,Protagonista
A,INTJ-A,2025,M,8.65,5,8.08,7.24,Analistas,Arquiteto
B,ENTJ-A,2024,M,9.75,10,10,9.92,Analistas,Comandante
A,ENTJ-T,2025,M,9.3,8,8.98,8.76,Analistas,Comandante
A,ENTJ-T,2025,M,8.5,4,8,6.83,Analistas,Comandante
B,INTJ-A,2025,M,10,10,10,10.00,Analistas,Arquiteto
B,INFP-T,2025,M,5,4,10,6.33,Diplomatas,Mediador
A,ENTP-A,2024,M,10,7.5,7.61,8.37,Analistas,Inovador
B,ENFP-A,2025,M,7.25,8,9.4,8.22,Diplomatas,Ativista
A,INFJ-A,2025,M,9.1,4,7.57,6.89,Diplomatas,Apoiador
A,ENTJ-T,2025,M,9.25,8,7.8,8.35,Analistas,Comandante
A,ENTJ-A,2025,M,10,7,9.8,8.93,Analistas,Comandante
A,ISFJ-A,2024,M,10,8.5,6.25,8.25,Sentinelas,Defensor
A,ENFJ-T,2025,M,9.3,8,8.48,8.59,Diplomatas,Protagonista
A,ESTP-A,2024,M,10,10,9.35,9.78,Exploradores,Empreendedor
A,ENTJ-A,2025,M,9.25,8,7.65,8.30,Analistas,Comandante
A,ENTJ-A,2025,F,9.55,10,8.81,9.45,Analistas,Comandante
A,INFJ-A,2025,M,9.3,8,7.38,8.23,Diplomatas,Apoiador
A,INTP-A,2025,M,9.25,8,8.5,8.58,Analistas,Logico
B,ESTJ-A,2025,M,7.5,8,7,7.50,Sentinelas,Executivo
B,ESTJ-A,2025,M,8.25,8,10,8.75,Sentinelas,Executivo
B,ESTJ-A,2025,M,8.7,8,5.3,7.33,Sentinelas,Executivo
B,INFP-T,2024,M,10,9.5,9.45,9.65,Diplomatas,Mediador
B,ENTP-T,2025,M,7.25,8,8.8,8.02,Analistas,Inovador
A,ENTJ-T,2024,M,10,9,9.62,9.54,Analistas,Comandante
A,ESFJ-A,2025,M,9.25,8,6.3,7.85,Sentinelas,Consul
A,INTJ-A,2025,M,9.1,4,7.77,6.96,Analistas,Arquiteto
B,INTP-T,2024,M,8.5,7,7.65,7.72,Analistas,Logico
A,INTJ-T,2024,M,10,0,7.14,5.71,Analistas,Arquiteto
A,ENTP-T,2024,F,10,10,10,10.00,Analistas,Inovador
B,ENFJ-T,2025,F,10,9.5,10,9.83,Diplomatas,Protagonista
A,ENTJ-A,2024,F,10,9,9.08,9.36,Analistas,Comandante
B,ENTJ-T,2025,M,10,10,9.25,9.75,Analistas,Comandante
B,ENTP-T,2025,M,7.25,8,6.55,7.27,Analistas,Inovador
B,INFJ-T,2024,M,10,9.5,9.25,9.58,Diplomatas,Apoiador
B,INTP-T,2024,M,10,8,7.55,8.52,Analistas,Logico
B,ISTJ-A,2024,M,8.5,7,9,8.17,Sentinelas,Pratico
A,INFJ-T,2024,M,10,10,9.25,9.75,Diplomatas,Apoiador
B,ENFP-A,2025,M,9.4,7,10,8.80,Diplomatas,Ativista
A,ISTJ-A,2025,M,8.65,4,7.63,6.76,Sentinelas,Pratico
B,ESTP-T,2025,M,9.4,5,7,7.13,Exploradores,Empreendedor
A,INTP-A,2025,M,9.55,7,9.26,8.60,Analistas,Logico
B,ISFP-T,2025,M,10,9.5,10,9.83,Exploradores,Aventureiro
B,ENTP-T,2024,M,9.75,5,5.58,6.78,Analistas,Inovador
A,ISFP-T,2024,M,10,0,5.14,5.05,Exploradores,Aventureiro
B,ISTJ-T,2024,M,10,10,9.5,9.83,Sentinelas,Pratico
B,ENFJ-T,2025,M,9.1,5,7.75,7.28,Diplomatas,Protagonista
B,ISFP-T,2025,M,7.25,5,7.75,6.67,Exploradores,Aventureiro
A,ENFJ-A,2025,M,9.3,8,8.43,8.58,Diplomatas,Protagonista
A,INTP-A,2024,M,10,10,9.06,9.69,Analistas,Logico
A,ISFP-T,2024,F,10,9,8.55,9.18,Exploradores,Aventureiro
A,ENTP-A,2025,M,8.65,4,7.03,6.56,Analistas,Inovador
A,INTJ-A,2025,M,8.35,6,6.66,7.00,Analistas,Arquiteto
A,INTP-T,2025,M,10,7,9.7,8.90,Analistas,Logico
A,INFP-A,2025,F,9.55,7,8.29,8.28,Diplomatas,Mediador
